,agent,time,event,next_position,travel_time,moving,waiting,task,position,picked_up_item,locked_item
6750,140215394819904,4792.781526064069,moving_end,,,0,0,1,140215394843712.0,,140215395825504.0
6751,140215394819904,4792.781526064069,pick_up_start,,,0,0,1,140215394843712.0,,140215395825504.0
6752,140215394819904,4792.8815260640695,pick_up_end,,,0,0,1,140215394843712.0,140215395825504.0,140215395825504.0
6753,140215394819904,4792.8815260640695,moving_start,140215394818800.0,1.0,1,0,1,,140215395825504.0,140215395825504.0
6754,140215394840928,4793.608157446416,start_task,,,0,0,1,140215394844000.0,,
6755,140215394840928,4793.608157446416,pick_up_start,,,0,0,1,140215394844000.0,,140215394841888.0
6756,140215394840928,4793.708157446416,pick_up_end,,,0,0,1,140215394844000.0,140215394841888.0,140215394841888.0
6757,140215394840928,4793.708157446416,moving_start,140215394843712.0,0.6666666666666666,1,0,1,,140215394841888.0,140215394841888.0
6758,140215394819904,4793.8815260640695,moving_end,,,0,0,1,140215394818800.0,140215395825504.0,140215395825504.0
6759,140215394819904,4793.8815260640695,store_item_start,,,0,0,1,140215394818800.0,140215395825504.0,140215395825504.0
6760,140215394819904,4793.98152606407,store_item_end,,,0,0,1,140215394818800.0,,140215395825504.0
6761,140215394946928,4793.98152606407,start_task,,,0,0,1,140215394819088.0,,
6762,140215394946928,4793.98152606407,moving_start,140215394818800.0,2.8666666666666667,1,0,1,,,140215395825504.0
6763,140215394819904,4793.98152606407,end_of_main_process,,,0,0,0,140215394818800.0,,
6764,140215394840928,4794.374824113083,moving_end,,,0,0,1,140215394843712.0,140215394841888.0,140215394841888.0
6765,140215394840928,4794.374824113083,store_item_start,,,0,0,1,140215394843712.0,140215394841888.0,140215394841888.0
6766,140215394840928,4794.474824113084,store_item_end,,,0,0,1,140215394843712.0,,140215394841888.0
6767,140215394840928,4794.474824113084,end_of_main_process,,,0,0,0,140215394843712.0,,
6768,140215394946928,4796.848192730737,moving_end,,,0,0,1,140215394818800.0,,140215395825504.0
6769,140215394946928,4796.848192730737,pick_up_start,,,0,0,1,140215394818800.0,,140215395825504.0
6770,140215394946928,4796.948192730737,pick_up_end,,,0,0,1,140215394818800.0,140215395825504.0,140215395825504.0
6771,140215394946928,4796.948192730737,moving_start,140215394945968.0,0.5,1,0,1,,140215395825504.0,140215395825504.0
6772,140215394946928,4797.448192730737,moving_end,,,0,0,1,140215394945968.0,140215395825504.0,140215395825504.0
6773,140215394946928,4797.448192730737,store_item_start,,,0,0,1,140215394945968.0,140215395825504.0,140215395825504.0
6774,140215394946928,4797.548192730737,store_item_end,,,0,0,1,140215394945968.0,,140215395825504.0
6775,140215394946928,4797.548192730737,end_of_main_process,,,0,0,0,140215394945968.0,,
6776,140215394819904,4801.141906286737,start_task,,,0,0,1,140215394818800.0,,
6777,140215394819904,4801.141906286737,moving_start,140215394843712.0,1.0,1,0,1,,,140215394841888.0
6778,140215394819904,4802.141906286737,moving_end,,,0,0,1,140215394843712.0,,140215394841888.0
6779,140215394819904,4802.141906286737,pick_up_start,,,0,0,1,140215394843712.0,,140215394841888.0
6780,140215394819904,4802.2419062867375,pick_up_end,,,0,0,1,140215394843712.0,140215394841888.0,140215394841888.0
6781,140215394819904,4802.2419062867375,moving_start,140215394818800.0,1.0,1,0,1,,140215394841888.0,140215394841888.0
6782,140215394819904,4803.2419062867375,moving_end,,,0,0,1,140215394818800.0,140215394841888.0,140215394841888.0
6783,140215394819904,4803.2419062867375,store_item_start,,,0,0,1,140215394818800.0,140215394841888.0,140215394841888.0
6784,140215394819904,4803.341906286738,store_item_end,,,0,0,1,140215394818800.0,,140215394841888.0
6785,140215394946928,4803.341906286738,start_task,,,0,0,1,140215394945968.0,,
6786,140215394946928,4803.341906286738,moving_start,140215394818800.0,0.5,1,0,1,,,140215394841888.0
6787,140215394819904,4803.341906286738,end_of_main_process,,,0,0,0,140215394818800.0,,
6788,140215394946928,4803.841906286738,moving_end,,,0,0,1,140215394818800.0,,140215394841888.0
6789,140215394946928,4803.841906286738,pick_up_start,,,0,0,1,140215394818800.0,,140215394841888.0
6790,140215394946928,4803.941906286738,pick_up_end,,,0,0,1,140215394818800.0,140215394841888.0,140215394841888.0
6791,140215394946928,4803.941906286738,moving_start,140215394945968.0,0.5,1,0,1,,140215394841888.0,140215394841888.0
6792,140215394946928,4804.441906286738,moving_end,,,0,0,1,140215394945968.0,140215394841888.0,140215394841888.0
6793,140215394946928,4804.441906286738,store_item_start,,,0,0,1,140215394945968.0,140215394841888.0,140215394841888.0
6794,140215394946928,4804.541906286739,store_item_end,,,0,0,1,140215394945968.0,,140215394841888.0
6795,140215394946928,4804.541906286739,end_of_main_process,,,0,0,0,140215394945968.0,,
6796,140215394946928,4844.288969686496,start_task,,,0,0,1,140215394945968.0,,
6797,140215394946928,4844.288969686496,moving_start,140215394819520.0,3.0666666666666664,1,0,1,,,140215394840880.0
6798,140215394946400,4847.2408289681225,start_task,,,0,0,1,140215394819088.0,,
6799,140215394946400,4847.2408289681225,moving_start,140215394819520.0,0.5,1,0,1,,,140215395826368.0
6800,140215394946928,4847.3556363531625,moving_end,,,0,0,1,140215394819520.0,,140215394840880.0
6801,140215394946928,4847.3556363531625,pick_up_start,,,0,0,1,140215394819520.0,,140215394840880.0
