,item,time,event,started,over_due,blocked,tasks_finished,completed,picked_up,transportation,processing,wait_for_repair,tasks_remaining,cell,position,position_type,picked_up_by,locked_by
118,140347423539008,165.18285438267824,put_down,1,0,0,1,1,0,0,0,0,0,,,None,,140347423614576.0
119,140347423539008,165.18285438267824,unlocked,1,0,0,1,1,0,0,0,0,0,,,None,,
120,140347424318752,215.97731778798646,order_arrival,1,0,0,0,0,0,0,0,0,1,140347423616016.0,140347423539152.0,InterfaceBuffer,,
121,140347424318752,215.97731778798646,locked,1,0,0,0,0,0,0,0,0,1,140347423616016.0,140347423539152.0,InterfaceBuffer,,140347423614576.0
122,140347424318752,217.64398445465312,picked_up,1,0,0,0,0,1,0,0,0,1,140347423616016.0,,None,140347423614576.0,140347423614576.0
123,140347424318752,217.64398445465312,transportation_start,1,0,0,0,0,1,1,0,0,1,140347423616016.0,,None,140347423614576.0,140347423614576.0
124,140347424318752,218.39398445465312,transportation_end,1,0,0,0,0,1,0,0,0,1,140347423616016.0,140347423538432.0,InterfaceBuffer,140347423614576.0,140347423614576.0
125,140347424318752,218.49398445465312,cell_change,1,0,0,0,0,1,0,0,0,1,140347423616016.0,140347423538432.0,InterfaceBuffer,140347423614576.0,140347423614576.0
126,140347424318752,218.49398445465312,put_down,1,0,0,0,0,0,0,0,0,1,140347423535936.0,140347423538432.0,InterfaceBuffer,,140347423614576.0
127,140347424318752,218.49398445465312,unlocked,1,0,0,0,0,0,0,0,0,1,140347423535936.0,140347423538432.0,InterfaceBuffer,,
128,140347424318752,218.49398445465312,locked,1,0,0,0,0,0,0,0,0,1,140347423535936.0,140347423538432.0,InterfaceBuffer,,140347423538768.0
129,140347424317936,218.84864883761512,order_arrival,1,0,0,0,0,0,0,0,0,1,140347423616016.0,140347423539152.0,InterfaceBuffer,,
130,140347424317936,218.84864883761512,locked,1,0,0,0,0,0,0,0,0,1,140347423616016.0,140347423539152.0,InterfaceBuffer,,140347423614576.0
131,140347424318752,219.26065112131977,picked_up,1,0,0,0,0,1,0,0,0,1,140347423535936.0,,None,140347423538768.0,140347423538768.0
132,140347424318752,219.26065112131977,transportation_start,1,0,0,0,0,1,1,0,0,1,140347423535936.0,,None,140347423538768.0,140347423538768.0
133,140347424317936,219.6986488376151,picked_up,1,0,0,0,0,1,0,0,0,1,140347423616016.0,,None,140347423614576.0,140347423614576.0
134,140347424317936,219.6986488376151,transportation_start,1,0,0,0,0,1,1,0,0,1,140347423616016.0,,None,140347423614576.0,140347423614576.0
135,140347424318752,219.76065112131977,transportation_end,1,0,0,0,0,1,0,0,0,1,140347423535936.0,140347423537376.0,Machine,140347423538768.0,140347423538768.0
136,140347424318752,219.86065112131976,put_down,1,0,0,0,0,0,0,0,0,1,140347423535936.0,140347423537376.0,Machine,,140347423538768.0
137,140347424318752,219.86065112131976,unlocked,1,0,0,0,0,0,0,0,0,1,140347423535936.0,140347423537376.0,Machine,,
138,140347424317936,220.4486488376151,transportation_end,1,0,0,0,0,1,0,0,0,1,140347423616016.0,140347423535600.0,InterfaceBuffer,140347423614576.0,140347423614576.0
139,140347424317936,220.5486488376151,cell_change,1,0,0,0,0,1,0,0,0,1,140347423616016.0,140347423535600.0,InterfaceBuffer,140347423614576.0,140347423614576.0
140,140347424317936,220.5486488376151,put_down,1,0,0,0,0,0,0,0,0,1,140347423537472.0,140347423535600.0,InterfaceBuffer,,140347423614576.0
141,140347424317936,220.5486488376151,unlocked,1,0,0,0,0,0,0,0,0,1,140347423537472.0,140347423535600.0,InterfaceBuffer,,
142,140347424317936,220.5486488376151,locked,1,0,0,0,0,0,0,0,0,1,140347423537472.0,140347423535600.0,InterfaceBuffer,,140347423536800.0
143,140347424317936,221.31531550428176,picked_up,1,0,0,0,0,1,0,0,0,1,140347423537472.0,,None,140347423536800.0,140347423536800.0
