,machine,time,event,est_time,next_setup_type,current_setup_type,load_item,manufacturing,setup,idle,repair,item_in_input,item_in_machine,item_in_output
173,140383847074688,266.3178605968397,release_item_start,,,140383846907520.0,0,0,0,0,0,,140383847543472.0,
174,140383847074688,266.4178605968397,release_item_end,,,140383846907520.0,0,0,0,1,0,,,140383847543472.0
175,140383847074688,269.2333333333334,item_stored,,,140383846907520.0,0,0,0,1,0,140383847545536.0,,
176,140383847074688,269.2333333333334,load_item_start,,,140383846907520.0,1,0,0,0,0,140383847545536.0,,
177,140383847074688,269.3333333333334,load_item_end,,,140383846907520.0,0,0,0,1,0,,140383847545536.0,
178,140383847074688,269.3333333333334,production_start,6.0,,140383846907520.0,0,1,0,0,0,,140383847545536.0,
179,140383847074688,275.3333333333334,production_end,,,140383846907520.0,0,0,0,1,0,,140383847545536.0,
180,140383847074688,275.3333333333334,release_item_start,,,140383846907520.0,0,0,0,0,0,,140383847545536.0,
181,140383847074688,275.43333333333345,release_item_end,,,140383846907520.0,0,0,0,1,0,,,140383847545536.0
182,140383847074688,281.2444444444445,item_stored,,,140383846907520.0,0,0,0,1,0,140383847545584.0,,
183,140383847074688,281.2444444444445,load_item_start,,,140383846907520.0,1,0,0,0,0,140383847545584.0,,
184,140383847074688,281.34444444444455,load_item_end,,,140383846907520.0,0,0,0,1,0,,140383847545584.0,
185,140383847074688,281.34444444444455,production_start,6.0,,140383846907520.0,0,1,0,0,0,,140383847545584.0,
186,140383847074688,287.34444444444455,production_end,,,140383846907520.0,0,0,0,1,0,,140383847545584.0,
187,140383847074688,287.34444444444455,release_item_start,,,140383846907520.0,0,0,0,0,0,,140383847545584.0,
188,140383847074688,287.44444444444457,release_item_end,,,140383846907520.0,0,0,0,1,0,,,140383847545584.0
189,140383847074688,293.5111111111114,item_stored,,,140383846907520.0,0,0,0,1,0,140383847545680.0,,
190,140383847074688,293.5111111111114,load_item_start,,,140383846907520.0,1,0,0,0,0,140383847545680.0,,
191,140383847074688,293.6111111111114,load_item_end,,,140383846907520.0,0,0,0,1,0,,140383847545680.0,
192,140383847074688,293.6111111111114,production_start,6.0,,140383846907520.0,0,1,0,0,0,,140383847545680.0,
193,140383847074688,299.6111111111114,production_end,,,140383846907520.0,0,0,0,1,0,,140383847545680.0,
194,140383847074688,299.6111111111114,release_item_start,,,140383846907520.0,0,0,0,0,0,,140383847545680.0,
195,140383847074688,299.71111111111145,release_item_end,,,140383846907520.0,0,0,0,1,0,,,140383847545680.0
196,140383847074688,302.5666666666668,item_stored,,,140383846907520.0,0,0,0,1,0,140383847389360.0,,
197,140383847074688,302.5666666666668,load_item_start,,,140383846907520.0,1,0,0,0,0,140383847389360.0,,
198,140383847074688,302.6666666666668,load_item_end,,,140383846907520.0,0,0,0,1,0,,140383847389360.0,
199,140383847074688,302.6666666666668,production_start,6.0,,140383846907520.0,0,1,0,0,0,,140383847389360.0,
200,140383847074688,308.6666666666668,production_end,,,140383846907520.0,0,0,0,1,0,,140383847389360.0,
201,140383847074688,308.6666666666668,release_item_start,,,140383846907520.0,0,0,0,0,0,,140383847389360.0,
202,140383847074688,308.7666666666668,release_item_end,,,140383846907520.0,0,0,0,1,0,,,140383847389360.0
203,140383847074688,314.57777777777784,item_stored,,,140383846907520.0,0,0,0,1,0,140383847546448.0,,
204,140383847074688,314.57777777777784,load_item_start,,,140383846907520.0,1,0,0,0,0,140383847546448.0,,
205,140383847074688,314.67777777777786,load_item_end,,,140383846907520.0,0,0,0,1,0,,140383847546448.0,
206,140383847074688,314.67777777777786,production_start,6.0,,140383846907520.0,0,1,0,0,0,,140383847546448.0,
207,140383847074688,315.48031236762046,failure_start,40.82899339635474,,140383846907520.0,0,0,0,0,1,,140383847546448.0,
208,140383847074688,324.6222222222223,item_stored,,,140383846907520.0,0,0,0,0,1,140383847390800.0,140383847546448.0,
