,buffer,time,event,event_item,full,items_in_storage
264,140649311047536,72.36666666666666,item_picked_up,140649313423424.0,0,0
265,140649311044176,72.45022885302893,item_stored,140649313423760.0,0,1
266,140649312699584,72.59022885302895,item_picked_up,140649310990240.0,0,1
267,140649311010768,72.73333333333332,item_stored,140649313423424.0,0,1
268,140649311007408,72.91689551969554,item_stored,140649313426736.0,1,1
269,140649311044176,72.94356218636226,item_picked_up,140649313423760.0,0,0
270,140649311010768,73.17999999999998,item_picked_up,140649313423424.0,0,0
271,140649311007408,73.25689551969553,item_picked_up,140649313426736.0,0,0
272,140649311045568,73.43689551969558,item_stored,140649313423760.0,0,1
273,140649310988128,73.5133333333333,item_stored,140649313423424.0,0,1
274,140649311046144,73.5235621863622,item_stored,140649313426736.0,0,1
275,140649311045568,73.70356218636225,item_picked_up,140649313423760.0,0,0
276,140649310988128,73.74666666666664,item_picked_up,140649313423424.0,0,0
277,140649311006832,73.97022885302891,item_stored,140649313423760.0,1,1
278,140649311046144,74.01689551969552,item_picked_up,140649313426736.0,0,0
279,140649311006832,74.20356218636225,item_picked_up,140649313423760.0,0,0
280,140649311064560,74.48356218636218,item_stored,140649313426736.0,0,0
281,140649311047536,75.60000000000001,order_arrival,,0,1
282,140649311009376,75.83999999999993,item_stored,140649310990000.0,1,1
283,140649312701552,76.06666666666666,item_stored,140649313479888.0,0,1
284,140649311009376,76.1066666666666,item_picked_up,140649310990000.0,0,0
285,140649311047536,76.31333333333333,item_picked_up,140649313426160.0,0,0
286,140649312701552,76.35999999999999,item_picked_up,140649313479888.0,0,0
287,140649312699584,76.36666666666669,item_stored,140649310989664.0,0,2
288,140649311046144,76.37333333333326,item_stored,140649310990000.0,0,1
289,140649312699920,76.49999999999999,item_stored,140649311008608.0,0,1
290,140649311044176,76.65999999999998,item_stored,140649313479888.0,0,1
291,140649311010768,76.67999999999999,item_stored,140649313426160.0,0,1
292,140649312699920,76.8,item_picked_up,140649311008608.0,0,0
293,140649311046144,77.0466666666666,item_picked_up,140649310990000.0,0,0
294,140649311010768,77.12666666666665,item_picked_up,140649313426160.0,0,0
295,140649310988128,77.45999999999998,item_stored,140649313426160.0,0,1
296,140649311064560,77.51333333333325,item_stored,140649310990000.0,0,0
297,140649311044176,77.55333333333331,item_picked_up,140649313479888.0,0,0
298,140649310988128,77.69333333333331,item_picked_up,140649313426160.0,0,0
299,140649311064560,77.91999999999997,item_stored,140649313479888.0,0,0
300,140649310988944,78.73689551969561,item_stored,140649312701168.0,0,1
301,140649310988944,79.14356218636227,item_picked_up,140649312701168.0,0,0
302,140649311047536,79.2,order_arrival,,0,1
303,140649311044176,79.4768955196956,item_stored,140649312701168.0,0,1
304,140649312699584,79.57022885302895,item_picked_up,140649310989664.0,0,1
305,140649311044176,79.84356218636226,item_picked_up,140649312701168.0,0,0
306,140649311047536,79.91333333333333,item_picked_up,140649313425968.0,0,0
307,140649311064560,80.21022885302892,item_stored,140649312701168.0,0,0
308,140649311010768,80.27999999999999,item_stored,140649313425968.0,0,1
309,140649311010768,80.72666666666665,item_picked_up,140649313425968.0,0,0
310,140649312700832,81.02666666666664,item_stored,140649313425968.0,0,1
311,140649312700832,81.29333333333331,item_picked_up,140649313425968.0,0,0
312,140649311047536,82.8,order_arrival,,0,1
313,140649311047536,83.16666666666666,item_picked_up,140649311008656.0,0,0
314,140649312699584,83.41333333333336,item_stored,140649313423424.0,0,2
315,140649311010768,83.53333333333332,item_stored,140649311008656.0,0,1
316,140649311010768,83.83333333333331,item_picked_up,140649311008656.0,0,0
317,140649312701552,84.01,item_stored,140649311008464.0,0,1
318,140649310988128,84.16666666666664,item_stored,140649311008656.0,0,1
319,140649310988128,84.39999999999998,item_picked_up,140649311008656.0,0,0
320,140649312701552,84.48333333333333,item_picked_up,140649311008464.0,0,0
321,140649311044176,84.78333333333333,item_stored,140649311008464.0,0,1
322,140649311044176,85.65666666666665,item_picked_up,140649311008464.0,0,0
323,140649310988944,85.71689551969561,item_stored,140649310990240.0,0,1
324,140649311064560,86.02333333333331,item_stored,140649311008464.0,0,0
325,140649310988944,86.12356218636228,item_picked_up,140649310990240.0,0,0
326,140649311047536,86.4,order_arrival,,0,1
327,140649311044176,86.4568955196956,item_stored,140649310990240.0,0,1
328,140649312699584,86.55022885302895,item_picked_up,140649313423424.0,0,1
